element_name,id,duplicate_id
electoral_district,32082550,32096560
electoral_district,32082550,32086542
electoral_district,32082550,32054526
electoral_district,32082550,32066558
electoral_district,32082550,32094556
electoral_district,32082550,32056527
electoral_district,32082550,32062530
electoral_district,32082550,32074536
electoral_district,32082550,32036517
electoral_district,32082550,32098548
electoral_district,32082550,32090544
electoral_district,32082550,320104561
electoral_district,32082550,32080539
electoral_district,32082550,32078549
electoral_district,32082550,32092559
electoral_district,32082550,32084553
electoral_district,32082550,32018508
electoral_district,32082550,32034516
electoral_district,32082550,32044534
electoral_district,32082550,32032536
electoral_district,32082550,320118558
electoral_district,32082550,32068540
electoral_district,32082550,320112555
electoral_district,32082550,32024525
electoral_district,32082550,32026531
electoral_district,32082550,32052537
electoral_district,32082550,32088598
electoral_district,32082550,320116572
electoral_district,32082550,32016518
electoral_district,32082550,32012515
electoral_district,32082550,32064563
electoral_district,32082550,320106556
electoral_district,32082550,32022559
electoral_district,32082550,32072535
electoral_district,32082550,32046535
electoral_district,32082550,32048543
electoral_district,32082550,320102567
electoral_district,32082550,32070534
electoral_district,32082550,32014506
electoral_district,32082550,32042520
electoral_district,32082550,32010504
electoral_district,32082550,32030514
electoral_district,32082550,32040532
electoral_district,32082550,32028513
electoral_district,32020509,32082550
electoral_district,32020509,32060540
electoral_district,32020509,320114556
electoral_district,32020509,32096560
electoral_district,32020509,32086542
electoral_district,32020509,32054526
electoral_district,32020509,32066558
electoral_district,32020509,32094556
electoral_district,32020509,32056527
electoral_district,32020509,32062530
electoral_district,32020509,32074536
electoral_district,32020509,32036517
electoral_district,32020509,32098548
electoral_district,32020509,32090544
electoral_district,32020509,320104561
electoral_district,32020509,32080539
electoral_district,32020509,32078549
electoral_district,32020509,32092559
electoral_district,32020509,32084553
electoral_district,32020509,32018508
electoral_district,32020509,32034516
electoral_district,32020509,32044534
electoral_district,32020509,32032536
electoral_district,32020509,320118558
electoral_district,32020509,32068540
electoral_district,32020509,320112555
electoral_district,32020509,32024525
electoral_district,32020509,32026531
electoral_district,32020509,32052537
electoral_district,32020509,32088598
electoral_district,32020509,320116572
electoral_district,32020509,32016518
electoral_district,32020509,32012515
electoral_district,32020509,32064563
electoral_district,32020509,320106556
electoral_district,32020509,32022559
electoral_district,32020509,32072535
electoral_district,32020509,32046535
electoral_district,32020509,32048543
electoral_district,32020509,320102567
electoral_district,32020509,32070534
electoral_district,32020509,32014506
electoral_district,32020509,32042520
electoral_district,32020509,32010504
electoral_district,32020509,32030514
electoral_district,32020509,32040532
electoral_district,32020509,32028513
electoral_district,32060540,32082550
electoral_district,32060540,32020509
electoral_district,32060540,320114556
electoral_district,32060540,32096560
electoral_district,32060540,32086542
electoral_district,32060540,32054526
electoral_district,32060540,32066558
electoral_district,32060540,32094556
electoral_district,32060540,32056527
electoral_district,32060540,32062530
electoral_district,32060540,32074536
electoral_district,32060540,32036517
electoral_district,32060540,32098548
electoral_district,32060540,32090544
electoral_district,32060540,320104561
electoral_district,32060540,32080539
electoral_district,32060540,32078549
electoral_district,32060540,32092559
electoral_district,32060540,32084553
electoral_district,32060540,32018508
electoral_district,32060540,32034516
electoral_district,32060540,32044534
electoral_district,32060540,32032536
electoral_district,32060540,320118558
electoral_district,32060540,32068540
electoral_district,32060540,320112555
electoral_district,32060540,32024525
electoral_district,32060540,32026531
electoral_district,32060540,32052537
electoral_district,32060540,32088598
electoral_district,32060540,320116572
electoral_district,32060540,32016518
electoral_district,32060540,32012515
electoral_district,32060540,32064563
electoral_district,32060540,320106556
electoral_district,32060540,32022559
electoral_district,32060540,32072535
electoral_district,32060540,32046535
electoral_district,32060540,32048543
electoral_district,32060540,320102567
electoral_district,32060540,32070534
electoral_district,32060540,32014506
electoral_district,32060540,32042520
electoral_district,32060540,32010504
electoral_district,32060540,32030514
electoral_district,32060540,32040532
electoral_district,32060540,32028513
electoral_district,320114556,32082550
electoral_district,320114556,32020509
electoral_district,320114556,32060540
electoral_district,320114556,32096560
electoral_district,320114556,32086542
electoral_district,320114556,32054526
electoral_district,320114556,32066558
electoral_district,320114556,32094556
electoral_district,320114556,32056527
electoral_district,320114556,32062530
electoral_district,320114556,32074536
electoral_district,320114556,32036517
electoral_district,320114556,32098548
electoral_district,320114556,32090544
electoral_district,320114556,320104561
electoral_district,320114556,32080539
electoral_district,320114556,32078549
electoral_district,320114556,32092559
electoral_district,320114556,32084553
electoral_district,320114556,32018508
electoral_district,320114556,32034516
