"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100744"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100745"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100746"
"FOREST HILLS PRESB. CHURCH","3031 MONTICELLO BLVD","","","CLEVELAND HEIGHTS","OH","44118","3031 MONTICELLO BOULEVARD","6:30 am - 7:30 pm","","3941001183"
"MONTICELLO MIDDLE SCHOOL","3665 MONTICELLO BLVD","","","CLEVELAND HEIGHTS","OH","44121","3665 MONTICELLO BOULEVARD","6:30 am - 7:30 pm","","3941001177"
"CALEDONIA ELEMENTARY SCHOOL","914 CALEDONIA AVE","","","CLEVELAND HEIGHTS","OH","44112","914 CALEDONIA ROAD","6:30 am - 7:30 pm","","3941001185"
"CALEDONIA ELEMENTARY SCHOOL","914 CALEDONIA AVE","","","CLEVELAND HEIGHTS","OH","44112","914 CALEDONIA ROAD","6:30 am - 7:30 pm","","3941001184"
"HOPE EVANG. LUTHERAN CHURCH","2222 N TAYLOR RD","","","CLEVELAND HEIGHTS","OH","44112","2222 NORTH TAYLOR ROAD","6:30 am - 7:30 pm","","3941001187"
"CALEDONIA ELEMENTARY SCHOOL","914 CALEDONIA AVE","","","CLEVELAND HEIGHTS","OH","44112","914 CALEDONIA ROAD","6:30 am - 7:30 pm","","3941001188"
"CALEDONIA ELEMENTARY SCHOOL","914 CALEDONIA AVE","","","CLEVELAND HEIGHTS","OH","44112","914 CALEDONIA ROAD","6:30 am - 7:30 pm","","3941001191"
"CHAGRIN FALLS HIGH SCHOOL","400 E WASHINGTON ST","","","CHAGRIN FALLS","OH","44022","400 EAST WASHINGTON STREET","6:30 am - 7:30 pm","","394100894"
"CHAGRIN FALLS HIGH SCHOOL","400 E WASHINGTON ST","","","CHAGRIN FALLS","OH","44022","400 EAST WASHINGTON STREET","6:30 am - 7:30 pm","","394100891"
"CHAGRIN FALLS HIGH SCHOOL","400 E WASHINGTON ST","","","CHAGRIN FALLS","OH","44022","400 EAST WASHINGTON STREET","6:30 am - 7:30 pm","","394100890"
"ORANGE VILLAGE HALL","4600 LANDER RD","","","ORANGE VILLAGE","OH","44022","4600 LANDER ROAD","6:30 am - 7:30 pm","","3941004479"
"ORANGE VILLAGE HALL","4600 LANDER RD","","","ORANGE VILLAGE","OH","44022","4600 LANDER ROAD","6:30 am - 7:30 pm","","3941004480"
"ORANGE VILLAGE HALL","4600 LANDER RD","","","ORANGE VILLAGE","OH","44022","4600 LANDER ROAD","6:30 am - 7:30 pm","","3941004478"
