"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"GARY G. HOWELL","R","","","","","","WV","MINERAL CO","","","","KEYSER","","5247","54610005247"
"GARY JOHNGRASS","R","","","","","","WV","LINCOLN CO","","","","WEST HAMLIN","","5021","54610005021"
"GARY MCCALLISTER","D","","","","","","WV","LINCOLN CO","","","","SOD","","5306","54610005306"
"GEOFF FOSTER","R","","","","","","WV","PUTNAM CO","","","","WINFIELD","","5072","54610005072"
"GEORGE "BOOGIE" AMBLER","R","","","","","","WV","GREENBRIER CO","","","","FORT SPRING","","5182","54610005182"
"GEORGE SKIDMORE","D","","","","","","WV","BRAXTON CO","","","","SUTTON","","5055","54610005055"
"GLEN B GAINER III","D","","","","","","WV","WOOD CO","","","","PARKERSBURG","","5004","54610005004"
"GREG  WOOD","R","","","","","","WV","RALEIGH CO","","","","SOPHIA","","5134","54610005134"
"GREG "HOOTIE" SMITH","D","","","","","","WV","MINGO CO","","","","WILLIAMSON","","5113","54610005113"
"GREG FITZWATER","D","","","","","","WV","CLAY CO","","","","BICKMORE","","5061","54610005061"
"GREG PUCKETT","R","","","","","","WV","MERCER CO","","","","PRINCETON","","5107","54610005107"
"GREGORY A. TUCKER","D","","","","","","WV","NICHOLAS CO","","","","SUMMERSVILLE","","5030","54610005030"
"GUY WARD","R","","","","","","WV","MARION CO","","","","WHITE HALL","","5089","54610005089"
"H. TRUMAN CHAFIN","D","","","","","","WV","MINGO CO","","","","WILLIAMSON","","5019","54610005019"
"HARRY KEITH WHITE","D","","","","","","WV","MINGO CO","","","","GILBERT","","5095","54610005095"
"HARRY V. BERTRAM","AFP2","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","4992","54610004992"
"HEATHER MARSHALL","D","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","4990","54610004990"
"HENRY C HOPPY SHORES","R","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5142","54610005142"
"HOLLI SMITH","D","","","","","","WV","OHIO CO","","","","WHEELING","","5291","54610005291"
"ISAAC SPONAUGLE","D","","","","","","WV","PENDLETON CO","","","","FRANKLIN","","5245","54610005245"
"JAMES "JIM" WHITACRE","R","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5045","54610005045"
"JAMES DEAN","R","","","","","","WV","RANDOLPH CO","","","","BEVERLY","","5218","54610005218"
