"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"BANDYTOWN/MARTHA FWB CHURCH","12165 Chap Road","","","Bandytown","WV","25505","","","","54888099"
"BAPTIST GROVE - ROANE- JACKSON TECH. CENTER","9450 SPENCER RD","","","LEROY","WV","25252","","","","54888100"
"BARBOUR COUNTY COURTHOUSE"," NESTORVILLE","","","","WV","","","","","54888101"
"BARBOUR COUNTY FAIRGROUNDS","","","","","","","","","","54888102"
"BARNES ELEMENTARY SCHOOL","100 NAOMI ST","","","FAIRMONT","WV","26554","","","","54888103"
"BARNES ELEMENTARY SCHOOL","100 NAOMI ST","","","FAIRMONT","WV","26554","","","","54888104"
"BARRACKVILLE MIDDLE SCHOOL"," MAIN ST","","","BARRACKVILLE","WV","26559","","","","54888105"
"BARRACKVILLE MIDDLE SCHOOL"," MAIN ST","","","BARRACKVILLE","WV","26559","","","","54888106"
"BARRACKVILLE SCHOOL, NORTH"," MAIN STREET","","","BARRACKVILLE","WV","26559","","","","54888107"
"BARRACKVILLE SCHOOL, SOUTH"," MAIN ST","","","BARRACKVILLE","WV","26559","","","","54888108"
"BAXTER COMMUNITY BUILDING"," p o box  55","","","BAXTER","WV","26560","","","","54888109"
"BAYARD FIRE HALL","100 POTOMAC AVE","","","BAYARD","WV","26707","","","","54888110"
"BEALE GRADE SCHOOL","7593 RIPLEY ROAD","","","POINT PLEASANT","WV","25550","","","","54888111"
"BEALE GRADE SCHOOL","7593 RIPLEY ROAD","","","POINT PLEASANT","WV","25550","","","","54888112"
"BEAN SETTLEMENT COMM BLDG","3031 SKAGGS RUN RD","","","BAKER","WV","26801","","","","54888113"
"BEAVER ELEMENTARY","16414 WEBSTER ROAD","","","CRAIGSVILLE","WV","26205","","","","54888114"
"BEAVER FIRST BAPTIST CHURCH","251 OXLEY CIRCLE","","","BEAVER","WV","25813","","","","54888115"
"BECKLEY CITY HALL","409 SOUTH KANAWHA STREET","","","BECKLEY","WV","25801","","","","54888116"
"BECKLEY-STRATTON MIDDLE SCHOOL","401 GRAY FLATS ROAD","","","BECKLEY ","WV","25801","","","","54888117"
"BEDINGTON ELEMENTARY SCHOOL","149 BEDINGTON ROAD","","","MARTINSBURG","WV","25404","","","","54888118"
"BEDINGTON ELEMENTARY SCHOOL","149 BEDINGTON ROAD","","","MARTINSBURG","WV","25404","","","","54888119"
"BEECH BOTTOM SCHOOL","0 HIGH STREET","","","BEECH BOTTOM","WV","26030","","","","54888120"
"BEECHWOOD PRESBYTERIAN CHURCH","703 30TH ST","","","PARKERSBURG","WV","26101","","","","54888121"
"BELGROVE/KENTUCK STAR-KENTUCK COMM. BLDG","5257 KENTUCK RD","","","KENNA","WV","25248","","","","54888122"
"BELINGTON ELEMENTARY SCHOOL","","","","","","","","","","54888123"
"BELINGTON FIRE DEPARTMENT","","","","","","","","","","54888124"
"BELLE ELEMENTARY","401 E 6TH ST","","","BELLE","WV","25015","","","","54888125"
"BELLE ELEMENTARY","401 E 6TH ST","","","BELLE","WV","25015","","","","54888126"
"BELLEPOINT -LIFELINE CHURCH","505 STOKES DRIVE","","","HINTON","WV","25951","","","","54888127"
"BELLEVILLE COMM CENTER","38 ROBINHOOD RD","","","BELLEVILLE","WV","26133","","","","54888128"
"BELLVIEW COMMUNITY CENTER","","","","","","","","","","54888129"
"BELMONT","318 Main Street","","","Belmont","WV","26134","","","","54888130"
"BERGOO COMMUNITY BUILDING","6 POST OFFICE LANE","","","WEBSTER SPRINGS","WV","26288","","","","54888131"
"BERKELEY HEIGHTS ELEMENTARY SCHOOL","726 HACK WILSON WAY","","","MARTINSBURG","WV","25401","","","","54888132"
"BERKELEY HEIGHTS ELEMENTARY SCHOOL","726 HACK WILSON WAY","","","MARTINSBURG","WV","25401","","","","54888133"
"BERKELEY SENIOR CENTER","217 N HIGH STREET","","","MARTINSBURG","WV","25404","","","","54888134"
"BERKELEY SPRINGS HIGH SCHOOL CAFETERIA","149 CONCORD AVENUE","","","BERKELEY SPRINGS","WV","25411","","","","54888135"
"BETHANY TOWN BUILDING"," CHURCH STREET","","","BETHANY","WV","","","","","54888136"
"BETHEL ASSEMBLY OF GOD CHURCH","2010 TAVERN ROAD","","","MARTINSBURG","WV","25401","","","","54888137"
"BETHEL BAPTIST CHURCH","895 HURRICANE CREEK ROAD","","","HURRICANE","WV","25526","","","","54888138"
"BIG OTTER COMM. CENTER","3433 big otter highway","","","ivYDALE","WV","25113","","","","54888139"
"BIG RUN COMMUNITY BUILDING"," BIG RUN","","","CAMERON","WV","26033","","","","54888140"
"BIRCH RIVER ELEMENTARY","1431 BIRCH RIVER RD","","","BIRCH RIVER","WV","","","","","54888141"
"BISON CENTER ","330 BUFFALO CREEK RD ","","","KENOVA","WV","25530","","","","54888142"
"BLACKSHERE ELEMENTARY SCHOOL","77 BLACKSHERE DR","","","MANNINGTON","WV","26582","","","","54888143"
"BLDG ADJ TO THOMAS GROCERY","2494 POCA RIVER ROAD S","","","POCA","WV","25159","","","","54888144"
"BLENNERHASSETT ELEM SCHOOL","444 JEWELL RD","","","PARKERSBURG","WV","","","","","54888145"
"BLENNERHASSETT ELEM SCHOOL","444 JEWELL RD","","","PARKERSBURG","WV","","","","","54888146"
"BLENNERHASSETT MIDDLE SCHOOL","444 JEWELL RD","","","PARKERSBURG","WV","26101","","","","54888147"
"BLENNERHASSETT MIDDLE SCHOOL","444 JEWELL RD","","","PARKERSBURG","WV","26101","","","","54888148"
"BLUE RIDGE ELEMENTARY SCHOOL","18866 CHARLES TOWN RD","","","HARPERS FERRY","WV","25425","","","","54888149"
"BLUE RIDGE ELEMENTARY SCHOOL","18866 CHARLES TOWN RD","","","HARPERS FERRY","WV","25425","","","","54888150"
"BLUE RIDGE MOUNTAIN FIRE HALL","181 KEYES GAP RD","","","HARPERS FERRY","WV","25425","","","","54888151"
"BLUEFIELD AUDITORIUM ","1780 STADIUM DRIVE","","","BLUEFIELD","","24701","","","","54888152"
"BLUEWELL SCHOOL","205 BLUEWELL SCHOOL RD","","","BLUEFIELD","WV","24701","","","","54888153"
"BLUEWELL SCHOOL","205 BLUEWELL SCHOOL RD","","","BLUEFIELD","WV","24701","","","","54888154"
"BOARD OF ED, CENTRAL OFFICE","105  ADAIR STREET","","","BECKLEY","WV","25801","","","","54888155"
"BOARD OF EDUCATION","501 CHESTNUT STREET","","","PARSONS","WV","26287","","","","54888156"
"BOARD OF EDUCATION","333 FOUNDRY ST","","","NEW MARTINSVILLE","WV","26155","","","","54888157"
"BOARD OF EDUCATION BLDG","200 ELIZABETH ST ","","","CHARLESTON","WV","25311","","","","54888158"
"BOARD OF EDUCATION BUILDING","1201 PLEASANT AVENUE","","","WELLSBURG","WV","26070","","","","54888159"
"BOARD OF EDUCATION BUILDING","1201 PLEASANT AVENUE","","","WELLSBURG","WV","26070","","","","54888160"
"BOARD OF EDUCATION OFFICE","239 COURT AVENUE","","","WESTON","WV","26452","","","","54888161"
"BOARD OF EDUCATION OFFICE","9875 WILLOW BEND ROAD","","","UNION","WV","24983","","","","54888162"
"BOAZ LIONS CLUB","315 VALLEY MANOR LN","","","WILLIAMSTOWN","WV","26187","","","","54888163"
"BOGGS RUN VFD","1519 BOGGS RUN RD","","","BENWOOD","","26031","","","","54888164"
"BOLAIR PUB. SER. DIST. BLDG.","2199 WEBSTER ROAD","","","WEBSTER SPRINGS","WV","26288","","","","54888165"
"BOLT CHURCH OF GOD","2073 BOLT ROAD","","","BOLT","WV","25817","","","","54888166"
"BOOMER FIRE DEPARTMENT","71 BOOMER BRANCH RD","","","BOOMER","WV","25031","","","","54888167"
"BOREMAN SCHOOL"," State Route 18","","","Middlebourne","WV","26149","","","","54888168"
"BOWMAN RIDGE COMM BLDG","1434 BOWMAN RIDGE RD","","","GLEN EASTON","","26039","","","","54888169"
"BRADLEY ELEMENTARY SCHOOL","210 BRADLEY SCHOOL ROAD","","","MT HOPE","WV","25880","","","","54888170"
"BRAMWELL TOWN HALL"," POST OFFICE BOX 338","","","BRAMWELL","WV","","","","","54888171"
"BRANDYWINE FIRE HOUSE"," RT. 33","","","ONEGO","WV","","","","","54888172"
"BRAXTON COUNTY JAMBOREE BUILDING","258 PARSONS DR","","","GASSAWAY","WV","26624","","","","54888173"
"BRIDGEVIEW ELEMENTARY","5100  OHIO ST","","","SO CHARLESTON","WV","25309","","","","54888174"
"BROAD ST UNITED METHODIST CHURCH-LEFT","210 BROAD STREET","","","WESTON","WV","26452","","","","54888175"
"BROAD ST UNITED METHODIST CHURCH-RIGHT","210 BROAD STREET","","","WESTON","WV","26452","","","","54888176"
"BROOKSVILLE BAPTIST CHURCH","6303 W LITTLE KANAWHA HWY","","","BIG BEND","WV","26136","","","","54888177"
"BROWN SCHOOL/PRE-KINDERGARTEN ACADEMY","  69 SMITH ST","","","MADISON","WV","25130","","","","54888178"
"BRUCETON MILLS FIRE HALL","142 UNION ST","","","BRUCETON MILLS","WV","26525","","","","54888179"
"BRUSHY FORK COMMUNITY BLDG","","","","","","","","","","54888180"
