"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"129 - KEENE MILL","0129","70028","","","","91459"
"101 - BRIDLE CREEK","0101","70040","","","","91460"
"201 - NORA","0201","70025","","","","91461"
"408 - EVERGREEN","0408","70057","","","","91462"
"304 - THIRD WARD FOURTH PRECINCT","0304","70114","","","","91463"
"102 - ROCK STORE","0102","70012","","","","91464"
"302 - MEADVILLE","0302","70043","","","","91465"
"025 - TWENTY-FIVE","0025","70123","","","","91466"
"202 - BRYAN","0202","70110","","","","91467"
"002 - TWO","0002","70104","","","","91468"
"301 - BIG STONE GAP","0301","70095","","","","91469"
"518 - WHITLOCKS","0518","70045","","","","91470"
"103 - SIMPSON","0103","70085","","","","91471"
"202 - TWO EAST","0202","70065","","","","91472"
"082 - SHELBURNE","0082","70129","","","","91473"
"201 - GLADE HILL","0201","70032","","","","91474"
"202 - BLUESTONE SENIOR HIGH SCHOOL","0202","70035","","","","91475"
"212 - BETHEL","0212","70110","","","","91476"
"501 - CLAREMONT","0501","70086","","","","91477"
"509 - MC COART","0509","70072","","","","91478"
"309 - SKINQUARTER","0309","70020","","","","91479"
"102 - GORE","0102","70033","","","","91480"
"305 - MASSANETTA SPRINGS","0305","70078","","","","91481"
"211 - PALMER","0211","70118","","","","91482"
"101 - BELLEHARBOUR","0101","70107","","","","91483"
"304 - CHESTNUT","0304","70118","","","","91484"
"203 - WILMINGTON PARISH","0203","70044","","","","91485"
"508 - BELGRADE","0508","70020","","","","91486"
"202 - RAINBOW FOREST","0202","70011","","","","91487"
"403 - MT CRAWFORD","0403","70078","","","","91488"
"305 - LAFAYETTE-WINONA","0305","70119","","","","91489"
"404 - COLLINSVILLE NUMBER 2","0404","70046","","","","91490"
"702 - SAXE","0702","70017","","","","91491"
"217 - RIVERVIEW","0217","70118","","","","91492"
"916 - WAPLES MILL","0916","70028","","","","91493"
"101 - PRECINCT 1-A","0101","70042","","","","91494"
"301 - PRECINCT 3-1","0301","70106","","","","91495"
"102 - NEW LONDON","0102","70015","","","","91496"
"932 - STONE SOUTH","0932","70028","","","","91497"
"502 - FORT BLACKMORE","0502","70080","","","","91498"
"304 - CLEVELAND","0304","70079","","","","91499"
"308 - ST LOUIS","0308","70057","","","","91500"
"405 - LA PRADE","0405","70020","","","","91501"
