"precinct_id","polling_location_id"
"91751","80189"
"91753","80123"
"91769","80089"
"91770","80681"
"91775","80154"
"91778","80403"
"91792","80675"
"91796","80663"
"91797","80468"
"91801","80638"
"91802","80489"
"91805","80345"
"91819","80560"
"91823","80623"
"91826","80169"
"91827","80140"
"91829","80464"
"91830","80414"
"91831","80283"
"91837","80330"
"91841","80303"
"91845","80599"
"91848","80294"
"91850","80047"
"91852","80245"
"91853","80296"
"91855","80017"
"91859","80384"
"91864","80173"
"91873","80378"
"91874","80235"
"91878","80298"
"91879","80419"
"91880","80589"
"91899","80118"
"91900","80347"
"91903","80542"
"91905","80440"
"91907","80439"
"91911","80619"
"91912","80431"
"91913","80592"
"91915","80558"
"91919","80157"
"91922","80398"
"91924","80271"
"91930","80024"
"91932","80441"
"91936","80612"
"91939","80669"
"91941","80728"
"91944","80037"
"91947","80251"
"91950","80297"
"91951","80516"
"91953","80265"
"91960","80231"
"91962","80087"
"91965","80583"
"91966","80708"
"91968","80372"
"91970","80207"
"91972","80670"
"91977","80668"
"91990","80485"
"91995","80356"
"91996","80637"
"91998","80266"
"92000","80701"
"92002","80661"
"92004","80000"
"92007","80453"
"92008","80751"
"92009","80153"
"92010","80129"
"92013","80234"
"92014","80019"
"92017","80280"
"92018","80404"
"92024","80308"
"92025","80222"
"92029","80137"
"92030","80336"
"92035","80735"
"92039","80405"
"92040","80702"
"92042","80662"
"92044","80660"
"92047","80564"
"92048","80243"
"92054","80706"
"92055","80236"
"92057","80046"
"92066","80090"
"92073","80286"
"92074","80599"
"92086","80590"
"92087","80624"
"92088","80261"
"92093","80278"
"92097","80396"
"92110","80299"
"92115","80570"
"92116","80665"
"92121","80069"
"92123","80689"
"92133","80292"
"92141","80242"
"92143","80246"
"92144","80375"
"92151","80176"
"92152","80262"
"92153","80106"
"92156","80400"
"92162","80705"
"92163","80048"
"92164","80276"
"92166","80460"
"92167","80510"
"92168","80481"
"92172","80203"
"92176","80332"
"92181","80642"
"92183","80488"
"92184","80168"
"92191","80275"
"92195","80015"
"92196","80002"
"92199","80267"
"92205","80443"
"92207","80101"
"92208","80448"
"92215","80131"
"92216","80713"
"92218","80626"
"92219","80709"
"92223","80712"
"92225","80667"
"92230","80477"
"92231","80747"
"92234","80237"
"92235","80572"
"92244","80476"
"92250","80364"
"92251","80184"
"92260","80335"
"92262","80471"
"92263","80083"
"92264","80339"
"92266","80240"
"92267","80031"
"92268","80113"
"92275","80671"
"92282","80442"
"92285","80704"
"92290","80482"
"92291","80355"
"92292","80546"
"92293","80270"
"92294","80213"
"92300","80366"
"92304","80703"
"92312","80049"
"92319","80545"
"92326","80070"
"92327","80470"
"92329","80447"
"92331","80480"
"92333","80461"
"92337","80559"
"92342","80277"
"92349","80067"
"92351","80288"
"92352","80361"
"92359","80088"
"92362","80112"
"92369","80752"
"92371","80449"
"92372","80084"
"92373","80051"
"92374","80032"
"92381","80608"
"92383","80193"
"92385","80319"
"92386","80744"
"92387","80125"
"92388","80040"
"92389","80247"
"92393","80212"
"92399","80749"
"92411","80219"
