"precinct_split_id","electoral_district_id"
"100268","60132"
"100268","60143"
"100269","60026"
"100269","60056"
"100269","60099"
"100270","60056"
"100270","60067"
"100270","60090"
"100271","60056"
"100271","60130"
"100272","60014"
"100272","60056"
"100272","60067"
"100273","60056"
"100273","60130"
"100274","60056"
"100274","60067"
"100275","60056"
"100275","60133"
"100276","60056"
"100276","60138"
"100277","60014"
"100277","60055"
"100277","60056"
"100278","60056"
"100278","60074"
"100278","60138"
"100279","60034"
"100279","60038"
"100279","60056"
"100280","60056"
"100280","60067"
"100281","60056"
"100281","60130"
"100282","60014"
"100282","60056"
"100283","60056"
"100283","60133"
"100284","60056"
"100284","60133"
"100285","60056"
"100285","60067"
"100285","60145"
"100286","60056"
"100286","60110"
"100286","60133"
"100287","60026"
"100287","60056"
"100287","60099"
"100288","60044"
"100288","60056"
"100289","60056"
"100289","60074"
"100290","60056"
"100290","60121"
"100290","60138"
"100291","60056"
"100291","60121"
"100291","60138"
"100292","60056"
"100292","60130"
"100293","60056"
"100293","60133"
"100294","60056"
"100294","60067"
"100295","60026"
"100295","60056"
"100296","60056"
"100296","60128"
"100296","60130"
"100297","60056"
"100297","60110"
"100298","60056"
"100298","60110"
"100299","60056"
"100299","60110"
"100300","60056"
"100300","60133"
"100301","60014"
"100301","60056"
"100302","60014"
"100302","60056"
"100303","60014"
"100303","60056"
"100303","60128"
"100304","60056"
"100304","60110"
"100305","60014"
"100305","60056"
"100306","60026"
"100306","60056"
"100306","60099"
"100307","60056"
"100307","60110"
"100308","60026"
"100308","60056"
"100309","60026"
"100309","60056"
"100309","60099"
"100310","60056"
"100310","60130"
"100311","60056"
"100311","60110"
"100312","60056"
"100312","60110"
"100312","60133"
"100313","60056"
"100313","60110"
"100314","60056"
"100314","60067"
"100315","60044"
"100315","60056"
"100316","60026"
"100316","60056"
"100316","60099"
"100317","60056"
"100317","60130"
"100318","60044"
"100318","60056"
"100319","60021"
"100319","60056"
"100319","60130"
"100320","60056"
"100320","60138"
"100321","60056"
"100321","60130"
"100322","60056"
"100322","60121"
"100323","60056"
"100323","60110"
"100324","60056"
"100324","60067"
"100325","60056"
"100325","60110"
"100326","60056"
"100326","60110"
"100327","60038"
"100327","60056"
"100327","60138"
"100328","60056"
"100328","60133"
"100329","60056"
"100329","60130"
"100330","60056"
"100330","60130"
"100331","60056"
"100331","60138"
"100332","60056"
"100332","60133"
"100333","60020"
"100333","60056"
"100333","60067"
"100334","60056"
"100334","60110"
"100335","60056"
"100335","60130"
"100336","60056"
"100336","60110"
"100337","60056"
"100337","60109"
"100337","60133"
"100338","60056"
"100338","60133"
"100339","60056"
"100339","60138"
"100340","60056"
"100340","60067"
"100341","60056"
"100341","60138"
"100342","60056"
"100342","60138"
"100343","60056"
"100343","60121"
"100344","60038"
"100344","60056"
"100345","60056"
"100345","60115"
"100345","60130"
"100346","60056"
"100346","60110"
"100347","60056"
"100347","60074"
"100347","60138"
"100348","60056"
"100348","60133"
"100349","60056"
"100349","60110"
"100350","60031"
"100350","60056"
"100350","60130"
"100351","60014"
"100351","60056"
"100352","60038"
"100352","60056"
"100352","60138"
"100353","60014"
"100353","60056"
"100353","60102"
"100354","60056"
"100354","60067"
"100355","60044"
"100355","60056"
"100356","60014"
"100356","60056"
"100357","60038"
"100357","60056"
"100358","60056"
"100358","60110"
"100359","60026"
"100359","60056"
"100360","60026"
"100360","60056"
"100361","60056"
"100361","60121"
"100362","60056"
"100362","60133"
"100363","60025"
"100363","60038"
"100363","60056"
"100363","60133"
"100364","60044"
"100364","60056"
"100364","60098"
"100365","60056"
"100365","60103"
"100365","60133"
"100366","60056"
"100366","60133"
"100367","60056"
"100367","60121"
"100368","60026"
"100368","60056"
"100368","60099"
"100369","60056"
"100369","60067"
"100370","60056"
"100370","60110"
"100371","60056"
"100371","60121"
"100371","60138"
"100372","60056"
"100372","60067"
"100373","60056"
"100373","60067"
"100374","60014"
"100374","60056"
"100375","60056"
"100375","60130"
"100376","60056"
"100376","60074"
"100377","60014"
"100377","60056"
"100378","60014"
"100378","60056"
"100379","60026"
"100379","60056"
"100379","60099"
"100380","60056"
"100380","60067"
"100381","60056"
"100381","60067"
"100382","60038"
"100382","60056"
"100383","60044"
"100383","60056"
"100383","60130"
"100383","60143"
"100384","60038"
"100384","60056"
"100385","60026"
"100385","60056"
"100386","60056"
"100386","60074"
"100387","60056"
"100387","60067"
"100388","60056"
"100388","60110"
"100389","60044"
"100389","60056"
"100390","60014"
"100390","60056"
"100391","60056"
"100391","60067"
"100392","60026"
"100392","60056"
"100393","60056"
"100393","60138"
"100394","60038"
"100394","60056"
"100395","60044"
"100395","60056"
"100396","60056"
"100396","60067"
"100397","60056"
"100397","60078"
"100397","60110"
"100398","60035"
"100398","60056"
"100398","60121"
"100399","60056"
"100399","60121"
"100399","60138"
"100400","60056"
"100400","60133"
"100401","60056"
"100401","60110"
"100402","60014"
"100402","60056"
"100403","60056"
"100403","60110"
"100404","60026"
"100404","60056"
"100405","60056"
"100405","60121"
"100405","60138"
"100406","60056"
"100406","60138"
"100407","60056"
"100407","60103"
"100407","60133"
"100408","60056"
"100408","60074"
"100408","60138"
"100409","60014"
"100409","60056"
"100409","60091"
"100410","60056"
"100410","60068"
"100410","60110"
"100411","60056"
"100411","60138"
"100412","60044"
"100412","60056"
"100413","60056"
"100413","60133"
"100414","60056"
"100414","60121"
"100414","60138"
"100415","60056"
"100415","60064"
"100415","60110"
"100416","60056"
"100416","60138"
"100417","60044"
"100417","60056"
"100417","60132"
"100417","60143"
"100418","60032"
"100418","60056"
"100418","60067"
"100418","60122"
"100419","60056"
"100419","60121"
"100420","60056"
"100420","60110"
"100421","60056"
"100421","60128"
"100421","60130"
"100421","60143"
"100422","60056"
"100422","60067"
"100422","60117"
"100423","60056"
"100423","60067"
"100424","60044"
"100424","60056"
"100425","60014"
"100425","60028"
"100425","60056"
"100426","60056"
"100426","60073"
"100426","60110"
"100427","60056"
"100427","60110"
"100428","60014"
"100428","60056"
"100429","60056"
"100429","60067"
"100430","60053"
"100430","60056"
