"name","precinct_id","ballot_style_image_url","id"
"0000","90251","","100103"
"0000","90291","","100104"
"0000","91724","","100105"
"0001","92068","","100106"
"0000","92105","","100107"
"0001","90583","","100108"
"0000","90463","","100109"
"0000","90646","","100110"
"0000","90441","","100111"
"0000","92107","","100112"
"0000","91085","","100113"
"0000","91662","","100114"
"0000","90048","","100115"
"0000","92052","","100116"
"0000","90644","","100117"
"1640","91023","","100118"
"0000","92093","","100119"
"0000","91185","","100120"
"0000","90436","","100121"
"0000","91578","","100122"
"0000","90032","","100123"
"0000","90158","","100124"
"0000","90521","","100125"
"0001","91631","","100126"
"0000","91903","","100127"
"0000","91000","","100128"
"0000","90754","","100129"
"0000","90066","","100130"
"0000","90712","","100131"
"0001","90561","","100132"
"0001","90603","","100133"
"0000","92346","","100134"
"0000","92276","","100135"
"0000","92405","","100136"
"0001","90278","","100137"
"0000","92166","","100138"
"0000","90817","","100139"
"0000","92416","","100140"
"0000","91539","","100141"
"0000","90169","","100142"
"0000","92115","","100143"
"0001","91594","","100144"
"0000","92233","","100145"
"0000","92256","","100146"
"2600","90734","","100147"
"0000","91776","","100148"
"0000","90028","","100149"
"0000","91088","","100150"
"0000","91493","","100151"
"0000","90057","","100152"
"0000","91538","","100153"
"0000","90969","","100154"
"0000","91012","","100155"
"0000","92101","","100156"
"0000","91820","","100157"
"0002","92278","","100158"
"0000","92391","","100159"
"0000","91613","","100160"
"0002","91821","","100161"
"0000","91671","","100162"
"0000","91880","","100163"
"0000","91477","","100164"
"0000","91322","","100165"
"0000","91046","","100166"
"0000","92329","","100167"
"0000","92226","","100168"
"0000","90348","","100169"
"0000","91070","","100170"
"0000","90699","","100171"
"0000","90777","","100172"
"0000","90230","","100173"
"0000","91154","","100174"
"0001","92148","","100175"
"0000","91556","","100176"
"1430","91762","","100177"
"1390","91195","","100178"
"0000","90503","","100179"
"0000","92142","","100180"
"0000","90368","","100181"
"0000","91586","","100182"
"0000","91528","","100183"
"0000","91984","","100184"
"0000","91981","","100185"
"0000","91247","","100186"
"0000","90448","","100187"
"0000","92323","","100188"
"104 - NORTHSIDE E-1","90979","","100189"
"0001","90540","","100190"
"0000","90749","","100191"
"0000","90511","","100192"
"0000","90269","","100193"
"0000","90232","","100194"
"0000","92206","","100195"
"1880","91184","","100196"
"0000","91492","","100197"
"0001","91330","","100198"
"0000","91444","","100199"
"0001","91894","","100200"
"0000","90676","","100201"
"0000","91114","","100202"
"0000","90168","","100203"
"0000","90898","","100204"
"0000","90948","","100205"
"0000","91818","","100206"
"0000","90524","","100207"
"0000","90258","","100208"
"0000","90726","","100209"
"0000","91318","","100210"
"0000","90735","","100211"
"0000","90821","","100212"
"0000","91425","","100213"
"0000","90785","","100214"
"0000","92030","","100215"
"0000","91727","","100216"
"0000","91397","","100217"
"0000","91228","","100218"
"0000","91568","","100219"
"2460","91429","","100220"
"0002","91594","","100221"
"0000","92051","","100222"
"0000","91199","","100223"
"0000","90912","","100224"
"0000","90959","","100225"
"0001","90632","","100226"
"0001","91306","","100227"
"0001","91920","","100228"
"0000","92172","","100229"
"0000","91797","","100230"
"0000","92274","","100231"
"0000","90362","","100232"
"0000","91522","","100233"
"0000","91432","","100234"
"0004","91568","","100235"
"0001","90660","","100236"
"0000","90149","","100237"
"0001","91256","","100238"
"0000","91442","","100239"
"0000","92125","","100240"
"0000","91053","","100241"
"1440C","91462","","100242"
"0000","92349","","100243"
"0001","90108","","100244"
"0000","91311","","100245"
"0000","90769","","100246"
"0000","90761","","100247"
"0000","90734","","100248"
"0000","91688","","100249"
"0000","90563","","100250"
"0000","90369","","100251"
"0000","91293","","100252"
"0000","91017","","100253"
"0000","91893","","100254"
"0000","91378","","100255"
"0000","91415","","100256"
"0000","90810","","100257"
"0000","91726","","100258"
"0000","91506","","100259"
"0000","92308","","100260"
"0000","90960","","100261"
"0000","92402","","100262"
"2600","91670","","100263"
"0000","90868","","100264"
"0000","90878","","100265"
"1162","91968","","100266"
"0001","92152","","100267"
"0000","91217","","100268"
"0000","91767","","100269"
"0001","90976","","100270"
"0000","91995","","100271"
"0000","92259","","100272"
"0000","92014","","100273"
"0000","92357","","100274"
"0000","90980","","100275"
"0002","91035","","100276"
"0000","91783","","100277"
"0000","92002","","100278"
