"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"LOCUST CREEK FIRE DEPT","575 Bethany Church Rd","","","Bumpass","VA","230243510","","6:00 AM - 7:00 PM","","80140"
"LAKE RIDGE ELEMENTARY SCHOOL","11970 Hedges Run Dr","","","Woodbridge","VA","221921026","","6:00 AM - 7:00 PM","","80141"
"LOCUST GROVE MIDDLE SCHOOL","6368 Flat Run Rd.","","","LOCUST GROVE","VA","22508","","6:00 AM - 7:00 PM","","80142"
"ORCHARD HILLS CHURCH","6032 CLOVERDALE RD","","","Roanoke","VA","24019","Community Room","6:00 AM - 7:00 PM","","80143"
"KATE WALLER BARRETT ELEMENTARY SCHOOL","150 DUFFEY DRIVE","","","STAFFORD","VA","22556","","6:00 AM - 7:00 PM","","80144"
"HODGES MANOR ELEMENTARY SCHOOL","1201 Cherokee Rd","","","Portsmouth","VA","237011707","","6:00 AM - 7:00 PM","","80145"
"ANTIOCH BAPTIST CHURCH","454 LLOYDS ROAD","","","Champlain","VA","22438","Fellowship Hall","6:00 AM - 7:00 PM","","80146"
"SOUTH ANNA ELEMENTARY SCHOOL","13122 WALTONS TAVERN RD","","","MONTPELIER","VA","23192","","6:00 AM - 7:00 PM","","80147"
"DANIELS RUN SCHOOL","3705 Old Lee Hwy","","","Fairfax","VA","220301805","","6:00 AM - 7:00 PM","","80148"
"LEE DAVIS HIGH SCHOOL","7052 Mechanicsville Tpke","","","Mechanicsville","VA","231113629","","6:00 AM - 7:00 PM","","80149"
"ST MATTHEW'S CHURCH FELLOWSHIP HALL","1706 St Matthew's Ln","","","Richmond","VA","23233","","6:00 AM - 7:00 PM","","80150"
"STICKLEYVILLE VOL FIRE DEPT BUILDING","137 SAGE MOUNTAIN ROAD","","","DUFFIELD","VA","24244","","6:00 AM - 7:00 PM","","80151"
"POST 9808 VFW BUILDING","7168 Flag Ln","","","Mechanicsville","VA","231115060","","6:00 AM - 7:00 PM","","80152"
"BRENTSVILLE DIST HIGH SCHOOL","12109 Aden Rd","","","Nokesville","VA","201812340","","6:00 AM - 7:00 PM","","80153"
"CERES COMMUNITY CENTER","43 Ruritan Drive","","","Ceres","VA","24318","","6:00 AM - 7:00 PM","","80154"
"First Baptist Church of Ridgeway","15 Church Street","","","Ridgeway","VA","24148","Social Hall","6:00 AM - 7:00 PM","","80155"
"ALVEY ELEMENTARY SCHOOL","5300 Waverly Farm Rd","","","Haymarket","VA","201693179","","6:00 AM - 7:00 PM","","80156"
"WIDEWATER ELEMENTARY SCHOOL","101 Den Rich Rd","","","Stafford","VA","225544748","","6:00 AM - 7:00 PM","","80157"
"GAYLE MIDDLE SCHOOL","100 Panther Dr","","","Fredericksburg","VA","224067473","","6:00 AM - 7:00 PM","","80158"
"WASH HENRY ELEM SCHOOL","9025 Washington Henry Dr","","","Mechanicsville","VA","231162856","","6:00 AM - 7:00 PM","","80159"
"PATRICK HENRY HIGH SCHOOL","12449 WEST PATRICK HENRY ROAD","","","ASHLAND","VA","23005","","6:00 AM - 7:00 PM","","80160"
"TWIN VALLEY HIGH SCHOOL","14455 DISMAL RIVER RD","","","PILGRIMS KNOB","VA","24638","BOTTOM HALL","6:00 AM - 7:00 PM","","80161"
"MT. VIEW ELEMENTARY SCHOOL","5600 McLeod Way","","","Haymarket","VA","201692538","","6:00 AM - 7:00 PM","","80162"
"GREENFIELD ELEMENTARY SCHOOL","288 Etzler Rd","","","Troutville","VA","241756393","Gym","6:00 AM - 7:00 PM","","80163"
"Triangle Elementary School","3615 Lions Field Road","","","Triangle","VA","22172","","6:00 AM - 7:00 PM","","80164"
"PINEY BRANCH ELEMENTARY SCHOOL","8301 Linton Hall Road","","","Bristow","VA","20136","Activities Room","6:00 AM - 7:00 PM","","80165"
"GLENWOOD RECREATION CENTER","1550 Halifax Rd","","","Danville","VA","245405810","","6:00 AM - 7:00 PM","","80166"
"GLADESBORO ELEMENTARY SCHOOL","7845 SNAKE CREEK RD","","","HILLSVILLE","VA","243434108","GYMNASIUM","6:00 AM - 7:00 PM","","80167"
"TWIN VALLEY ELEM & MIDDLE SCHOOL","9017 Riverside Dr","","","Oakwood","VA","246319623","HALL","6:00 AM - 7:00 PM","","80168"
"WEST PARK CHURCH OF CHRIST","926 Cherokee Rd","","","Portsmouth","VA","237011931","","6:00 AM - 7:00 PM","","80169"
"CHILDS-GENTRY POST - VFW","2559 LOVERS GAP RD","","","VANSANT","VA","24656","","6:00 AM - 7:00 PM","","80170"
"MONTPELIER CENTER FOR ARTS AND EDUCATION","17205 Mountain Rd","","","Montpelier","VA","231922566","","6:00 AM - 7:00 PM","","80171"
"Fellowship Center of Black Creek Church ","6229 Mcclellan Rd","","","Mechanicsville","VA","23111","","6:00 AM - 7:00 PM","","80172"
"RICH ACRES ELEMENTARY SCHOOL","400 Rich Acres School Rd","","","Martinsville","VA","241120006","","6:00 AM - 7:00 PM","","80173"
"OAKLAND ELEMENTARY SCHOOL","4930 PIPERS GAP RD","","","GALAX","VA","243335746","GYMNASIUM","6:00 AM - 7:00 PM","","80174"
"CHHS TECHNICAL CENTER","3451 Conduit Rd","","","Colonial Heights","VA","238342625","","6:00 AM - 7:00 PM","","80175"
"ELMONT ELEMENTARY SCHOOL","12007 Cedar Ln","","","Ashland","VA","230057522","","6:00 AM - 7:00 PM","","80176"
"MOTLEY COMMUNITY CENTER","597 Jasper Wood Rd","","","Hurt","VA","245633736","","6:00 AM - 7:00 PM","","80177"
"BIG ROCK COMMUNITY CENTER","1054 SCHOOL HOUSE RD","","","BIG ROCK","VA","24603","","6:00 AM - 7:00 PM","","80178"
"ROCKY RUN ELEMENTARY SCHOOL","95 Reservoir Rd","","","Fredericksburg","VA","224067241","","6:00 AM - 7:00 PM","","80179"
"Conway Elementary School","105 Primmer House Rd.","","","Fredericksburg","VA","22405","","6:00 AM - 7:00 PM","","80180"
"JACKSON MEMORIAL ELEM SCHOOL","4424 FORT CHISWELL ROAD","","","Austinville","VA","24312","","6:00 AM - 7:00 PM","","80181"
