"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"109 - HUNTON","0109","70045","","","","90201"
"318 - WESTMORELAND","0318","70028","","","","90202"
"303 - RIVERBEND","0303","70084","","","","90203"
"202 - GEORGE MASON SCHOOL","0202","70098","","","","90204"
"101 - SALUDA","0101","70059","","","","90205"
"401 - PRECINCT 4-1","0401","70075","","","","90206"
"308 - MONTCLAIR","0308","70072","","","","90207"
"303 - POWHATAN C","0303","70049","","","","90208"
"202 - COURTHOUSE","0202","70052","","","","90209"
"201 - EAST FAIRFAX","0201","70023","","","","90210"
"707 - SEVEN HUNDRED SEVEN","0707","70127","","","","90211"
"307 - RIDGE","0307","70045","","","","90212"
"112 - ONE HUNDRED TWELVE","0112","70127","","","","90213"
"218 - OAKVIEW","0218","70045","","","","90214"
"501 - BELMONT","0501","70084","","","","90215"
"202 - KILN CREEK","0202","70097","","","","90216"
"411 - VIRGINIA HILLS","0411","70028","","","","90217"
"010 - WILSON","0010","70006","","","","90218"
"102 - HADENSVILLE","0102","70039","","","","90219"
"501 - WILTON","0501","70059","","","","90220"
"520 - SKYLINE","0520","70028","","","","90221"
"401 - PRECINCT 1 - DISTRICT FOUR","0401","70108","","","","90222"
"303 - BEALETON","0303","70029","","","","90223"
"403 - BRANDERMILL","0403","70020","","","","90224"
"018 - PARK LANE","0018","70006","","","","90225"
"404 - FOUR HUNDRED FOUR","0404","70127","","","","90226"
"102 - CATLETT","0102","70029","","","","90227"
"302 - PATRICK HENRY #2","0302","70054","","","","90228"
"217 - MOUNTAIN","0217","70045","","","","90229"
"041 - WOODBURY","0041","70006","","","","90230"
"109 - PINEY BRANCH","0109","70072","","","","90231"
"511 - BLACK HEATH","0511","70020","","","","90232"
"414 - FOUR HUNDRED FOURTEEN","0414","70127","","","","90233"
"401 - ELDORADO","0401","70023","","","","90234"
"602 - SMITH STATION","0602","70084","","","","90235"
"034 - YORKTOWN","0034","70006","","","","90236"
"302 - YORKTOWN","0302","70097","","","","90237"
"216 - MOODY","0216","70045","","","","90238"
"701 - SHELTONS MILL","0701","70054","","","","90239"
"203 - NI RIVER / ELYS FORD","0203","70084","","","","90240"
"101 - GREATER TAPPAHANNOCK","0101","70027","","","","90241"
"003 - WESTERN","0003","70122","","","","90242"
"416 - EVERGREEN WEST","0416","70020","","","","90243"
"107 - MARSTELLER","0107","70072","","","","90244"
"101 - COALPIT","0101","70045","","","","90245"
