"precinct_id","polling_location_id"
"90264","80339"
"90266","80176"
"90269","80293"
"90270","80163"
"90271","80413"
"90272","80031"
"90273","80290"
"90275","80162"
"90277","80059"
"90278","80123"
"90279","80309"
"90280","80298"
"90281","80327"
"90282","80480"
"90283","80483"
"90287","80420"
"90288","80388"
"90290","80142"
"90291","80361"
"90292","80488"
"90294","80236"
"90295","80190"
"90296","80228"
"90297","80476"
"90299","80132"
"90300","80125"
"90301","80514"
"90302","80469"
"90303","80173"
"90304","80320"
"90305","80386"
"90306","80391"
"90307","80498"
"90308","80084"
"90309","80115"
"90310","80517"
"90312","80247"
"90313","80240"
"90314","80192"
"90315","80139"
"90316","80074"
"90317","80358"
"90318","80252"
"90319","80389"
"90320","80502"
"90321","80394"
"90322","80033"
"90324","80234"
"90325","80526"
"90326","80344"
"90327","80267"
"90328","80342"
"90329","80137"
"90331","80272"
"90332","80393"
"90333","80105"
"90334","80034"
"90335","80205"
"90336","80370"
"90340","80030"
"90341","80509"
"90342","80455"
"90343","80005"
"90344","80120"
"90346","80071"
"90347","80128"
"90348","80109"
"90349","80466"
"90350","80485"
"90351","80265"
"90352","80235"
"90354","80103"
"90355","80171"
"90356","80528"
"90357","80077"
"90359","80470"
"90360","80296"
"90361","80194"
"90362","80187"
"90363","80007"
"90364","80442"
"90365","80397"
"90366","80328"
"90369","80521"
"90371","80307"
"90372","80435"
"90373","80159"
"90375","80055"
"90376","80239"
"90377","80003"
"90380","80359"
"90381","80382"
"90384","80100"
"90385","80075"
"90388","80375"
"90389","80101"
"90390","80279"
"90392","80250"
"90393","80522"
"90394","80383"
"90395","80392"
"90396","80292"
"90397","80513"
"90398","80069"
"90399","80331"
"90400","80299"
"90401","80312"
"90403","80456"
"90404","80037"
"90405","80329"
"90406","80318"
"90407","80154"
"90408","80219"
"90410","80169"
"90411","80460"
"90412","80021"
"90413","80516"
"90415","80499"
"90416","80134"
"90418","80243"
"90419","80032"
"90420","80450"
"90422","80363"
"90423","80449"
"90424","80416"
"90425","80203"
"90426","80322"
"90427","80023"
"90428","80172"
"90429","80151"
"90430","80285"
"90431","80530"
"90432","80491"
"90433","80471"
"90434","80129"
"90435","80102"
"90436","80189"
"90437","80106"
"90438","80035"
"90439","80493"
"90440","80238"
"90441","80310"
"90442","80305"
"90443","80414"
"90444","80465"
"90446","80400"
"90447","80294"
"90448","80519"
"90450","80445"
"90451","80064"
"90452","80253"
"90453","80135"
"90454","80098"
"90456","80374"
"90457","80475"
"90458","80058"
"90459","80482"
"90460","80380"
"90461","80072"
"90462","80275"
"90463","80232"
"90465","80022"
"90466","80451"
"90467","80180"
"90468","80027"
"90469","80341"
"90470","80479"
"90471","80468"
"90472","80401"
"90474","80362"
"90475","80511"
"90476","80432"
"90477","80221"
"90478","80323"
"90479","80168"
"90480","80443"
"90481","80212"
"90482","80319"
"90483","80422"
"90484","80241"
"90485","80230"
"90486","80157"
"90488","80220"
"90489","80183"
"90490","80002"
"90491","80001"
"90492","80242"
"90493","80447"
"90494","80081"
"90496","80083"
"90497","80277"
"90498","80167"
"90499","80225"
"90500","80457"
"90501","80181"
"90502","80255"
"90503","80024"
"90504","80368"
"90505","80091"
"90506","80278"
"90507","80237"
"90508","80014"
"90509","80410"
"90510","80188"
"90511","80424"
"90512","80198"
"90513","80061"
"90514","80164"
"90515","80248"
"90516","80406"
"90517","80500"
"90518","80477"
"90519","80017"
"90520","80161"
"90521","80282"
"90522","80207"
"90524","80381"
"90525","80107"
"90526","80257"
"90527","80453"
"90528","80199"
"90529","80340"
"90530","80000"
"90531","80321"
"90532","80531"
"90533","80110"
"90534","80352"
"90535","80211"
"90536","80057"
"90538","80496"
"90539","80472"
"90540","80417"
"90541","80231"
"90542","80439"
"90543","80147"
"90544","80073"
"90545","80317"
"90546","80214"
"90548","80412"
"90549","80324"
"90550","80291"
"90551","80114"
"90552","80437"
"90553","80436"
"90554","80195"
"90555","80281"
"90556","80051"
"90558","80332"
"90559","80227"
"90561","80066"
"90562","80104"
"90564","80093"
"90565","80202"
"90567","80179"
"90568","80184"
"90569","80276"
"90570","80078"
"90571","80300"
"90572","80197"
"90573","80338"
"90574","80297"
