"precinct_split_id","electoral_district_id"
"100156","60001"
"100157","60000"
"100158","60000"
"100158","60003"
"100159","60001"
"100160","60001"
"100161","60001"
"100162","60000"
"100163","60003"
"100164","60002"
"100165","60001"
"100166","60000"
"100167","60000"
"100168","60000"
"100169","60000"
"100170","60002"
"100171","60002"
"100172","60002"
"100173","60001"
"100174","60001"
"100175","60000"
"100176","60003"
"100177","60001"
"100178","60002"
"100179","60002"
"100180","60000"
"100181","60002"
"100182","60002"
"100183","60002"
"100184","60001"
"100185","60000"
"100185","60002"
"100186","60003"
"100187","60000"
"100188","60002"
"100189","60002"
"100190","60000"
"100191","60000"
"100192","60002"
"100193","60002"
"100194","60000"
"100195","60000"
"100196","60002"
"100197","60002"
"100198","60000"
"100199","60000"
"100199","60002"
"100200","60000"
"100201","60000"
"100202","60001"
"100203","60003"
"100204","60002"
"100205","60002"
"100206","60000"
"100207","60002"
"100208","60000"
"100209","60001"
"100210","60002"
"100211","60000"
"100211","60002"
"100212","60003"
"100213","60003"
"100214","60003"
"100215","60001"
"100216","60002"
"100217","60001"
"100218","60002"
"100219","60003"
"100220","60003"
"100221","60002"
"100222","60000"
"100223","60000"
"100224","60002"
"100225","60000"
"100226","60001"
"100227","60000"
"100228","60002"
"100229","60002"
"100230","60002"
"100231","60001"
"100232","60003"
"100233","60000"
"100234","60001"
"100235","60001"
"100236","60002"
"100237","60000"
"100237","60002"
"100238","60001"
"100239","60002"
"100240","60000"
"100241","60002"
"100242","60000"
"100243","60001"
"100244","60001"
"100245","60000"
"100246","60003"
"100247","60002"
"100248","60002"
"100249","60001"
"100250","60002"
"100251","60001"
"100252","60001"
"100253","60000"
"100254","60001"
"100255","60001"
"100256","60002"
"100257","60000"
"100258","60002"
"100259","60002"
"100260","60003"
"100261","60002"
"100262","60001"
"100263","60000"
"100264","60002"
"100265","60002"
"100266","60002"
"100267","60000"
"100268","60000"
"100269","60001"
"100270","60000"
"100271","60003"
"100272","60001"
"100273","60001"
"100274","60001"
"100275","60001"
"100276","60002"
"100277","60002"
"100278","60001"
"100279","60003"
"100280","60001"
"100281","60001"
"100282","60002"
"100283","60001"
"100284","60002"
"100285","60000"
"100286","60002"
"100287","60002"
"100288","60002"
"100289","60000"
"100290","60003"
"100291","60002"
"100292","60002"
"100293","60002"
"100294","60002"
"100295","60003"
"100296","60001"
"100297","60001"
"100298","60001"
"100299","60002"
"100300","60002"
"100301","60002"
"100302","60001"
"100303","60002"
"100304","60000"
"100305","60001"
"100306","60003"
"100307","60002"
"100308","60002"
"100309","60002"
"100310","60002"
"100311","60000"
"100312","60000"
"100313","60002"
"100314","60000"
"100315","60000"
"100316","60003"
"100317","60001"
"100318","60001"
"100319","60002"
"100320","60000"
"100321","60000"
"100322","60001"
"100323","60003"
"100324","60001"
"100325","60000"
"100326","60000"
"100327","60000"
"100328","60003"
"100329","60002"
"100330","60002"
"100331","60000"
"100332","60000"
"100333","60001"
"100334","60000"
"100335","60002"
"100336","60000"
"100337","60000"
"100338","60002"
"100339","60002"
"100340","60001"
"100341","60001"
"100342","60002"
"100343","60002"
"100344","60002"
"100345","60000"
"100346","60001"
"100347","60000"
"100348","60001"
"100349","60000"
"100349","60002"
"100350","60000"
"100351","60001"
"100352","60000"
"100353","60002"
"100354","60002"
"100355","60001"
"100356","60000"
"100357","60000"
"100358","60000"
"100359","60000"
"100360","60003"
"100361","60001"
"100362","60002"
"100363","60003"
"100364","60002"
"100365","60002"
"100366","60000"
"100367","60000"
"100368","60000"
"100369","60001"
"100370","60000"
"100371","60002"
"100372","60000"
"100373","60002"
"100374","60002"
"100375","60003"
"100376","60000"
"100377","60003"
"100378","60003"
"100379","60000"
"100380","60000"
"100381","60001"
"100382","60002"
"100383","60002"
"100384","60000"
"100385","60001"
"100386","60002"
"100387","60000"
"100388","60000"
"100389","60000"
"100390","60002"
"100391","60002"
"100392","60002"
"100393","60002"
"100394","60002"
"100395","60000"
"100396","60000"
"100397","60001"
"100398","60002"
"100399","60000"
"100400","60002"
"100401","60000"
"100402","60002"
"100403","60000"
"100404","60002"
"100405","60001"
"100406","60002"
"100407","60001"
"100408","60000"
"100408","60002"
"100409","60001"
"100410","60001"
"100411","60001"
"100412","60002"
"100413","60002"
"100414","60002"
"100415","60000"
"100416","60003"
"100417","60002"
"100418","60000"
"100418","60003"
"100419","60002"
"100420","60000"
"100421","60000"
"100422","60000"
"100423","60001"
"100424","60000"
"100425","60002"
"100426","60002"
"100427","60000"
"100428","60002"
"100429","60001"
"100430","60001"
"100431","60002"
