"ballot_id","candidate_id","sort_order"
"345","10785",""
"283","10938",""
"97","10939",""
"138","10941",""
"380","10336",""
"112","10938",""
"131","10938",""
"370","10941",""
"28","10065",""
"48","10185",""
"396","10012",""
"40","10941",""
"101","10483",""
"126","10428",""
"33","10938",""
"183","10939",""
"219","10496",""
"283","10180",""
"330","10747",""
"229","10937",""
"388","10967",""
"423","10942",""
"74","10404",""
"169","10937",""
"254","10939",""
"168","10940",""
"69","10967",""
"366","10967",""
"105","10939",""
"51","10941",""
"190","10941",""
"131","10233",""
"248","10937",""
"333","10939",""
"173","10942",""
"169","10291",""
"190","10497",""
"307","10940",""
"411","10942",""
"32","10941",""
"209","10941",""
"261","10764",""
"43","10938",""
"72","10623",""
"147","10804",""
"176","10939",""
"169","10208",""
"186","10800",""
"340","10942",""
"71","10937",""
"51","10058",""
"140","10342",""
"194","10666",""
"419","10942",""
"12","10643",""
"19","10865",""
"83","10362",""
"20","10779",""
"52","10064",""
"311","10232",""
"142","10937",""
"137","10070",""
"404","10273",""
"42","10278",""
"125","10784",""
"148","10561",""
"102","10696",""
"375","10233",""
"58","10077",""
"97","10661",""
"142","10330",""
"361","10342",""
"81","10940",""
"39","10939",""
"58","10939",""
"115","10939",""
"125","10967",""
"34","10838",""
"346","10941",""
"403","10941",""
"341","10967",""
"398","10967",""
"144","10342",""
"79","10347",""
"239","10075",""
"340","10807",""
"388","10355",""
"370","10939",""
"19","10886",""
"315","10937",""
"149","10938",""
"148","10941",""
"360","10967",""
"234","10388",""
"295","10468",""
"329","10420",""
"24","10842",""
"37","10542",""
"68","10372",""
"13","10571",""
"52","10183",""
"203","10431",""
"79","10670",""
"103","10937",""
"281","10967",""
"260","10487",""
"349","10370",""
"59","10723",""
"387","10574",""
"2","10940",""
"111","10829",""
"45","10937",""
"56","10441",""
"57","10797",""
"18","10901",""
"19","10898",""
"103","10697",""
"190","10601",""
"311","10560",""
"99","10021",""
"17","10939",""
"291","10939",""
"85","10940",""
"16","10942",""
"290","10942",""
"98","10658",""
"82","10937",""
"284","10941",""
"184","10967",""
"222","10967",""
"11","10565",""
"74","10432",""
"354","10273",""
"57","10942",""
"146","10828",""
"266","10393",""
"273","10205",""
"3","10937",""
"363","10941",""
"105","10967",""
"301","10967",""
"44","10940",""
"340","10940",""
"13","10476",""
"14","10473",""
"153","10349",""
"126","10941",""
"425","10941",""
"64","10967",""
"219","10558",""
"55","10610",""
"24","10937",""
"123","10937",""
"205","10941",""
"143","10967",""
"150","10799",""
"156","10664",""
"275","10273",""
"375","10380",""
"65","10307",""
"246","10339",""
"169","10286",""
"66","10938",""
"62","10940",""
