"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"WAHABI SHRINERS TEMPLE","1343 I 55 SOUTH","","","JACKSON","MS","39212","","","","1313122"
"GRIFFITH MEMORIAL BAPTIST CHURCH","5275 TERRY RD","","","BYRAM","MS","39272","","","","1313123"
"BYRAM VOL FIRE STATION","2571 DAVIS RD","","","TERRY","MS","39170","","","","1313124"
"BOLTON VOL FIRE STATION","117 W MADISON ST","","","BOLTON","MS","39041","","","","1313125"
"BOLTON VOL FIRE STATION","117 WEST MADISON ST","","","BOLTON ","MS","39041","","","","1313125"
"BROWNSVILLE VOL FIRE STATION","FIRE STATION","","","BROWNSVILLE","MS","39041","","","","1313126"
"BROWNSVILLE VOL FIRE STATION","FIRE STATION","","","BROWNSVILLE ","MS","39041","","","","1313126"
"FIRST BAPTIST CHURCH","MONROE ST","","","CLINTON","MS","39056","","","","1313128"
"WILDWOOD BAPTIST CHURCH","101 AUBURN DR","","","CLINTON","MS","39056","","","","1313130"
"NORTHSIDE BAPTIST CHURCH","1475 NORTHSIDE DR","","","CLINTON","MS","39056","","","","1313133"
"CLINTON YMCA","400 LINDALE DR","","","CLINTON","MS","39056","","","","1313135"
"OLD A E WOOD CLINTON PUBLIC LIBRARY","111 CLINTON BLVD","","","CLINTON","MS","39056","","","","1313137"
"FIRST UNITED METH CHURCH","HWY 80 AT MT SALUS DR","","","CLINTON","MS","39056","","","","1313138"
"BELLMONT BAPTIST CHURCH","4446 CHARLIE BROWN RD","","","UTICA","MS","39175","","","","1313139"
"LITTLE MOUNT CENTER","LITTLE MOUNT RD OFF DIXON CIR","","","UTICA","MS","39175","","","","1313140"
"MACLEAN VOL FIRE STATION","ROSS CIRCLE AT MACLEAN RD","","","JACKSON","MS","39209","","","","1313141"
"SPRINGHILL CHRISTIAN CENTER","1518 SPRINGHILL RD
(OFF MIDWAY RD)","","","RAYMOND","MS","39154","","","","1313142"
"EDWARDS LIVESTOCK BARN","DISTRICT 3 BARN","","","EDWARDS","MS","39066","","","","1313144"
"LEARNED VOL FIRE STATION","327 FRONT ST","","","LEARNED","MS","39154","","","","1313145"
"BYRAM BAPTIST CHURCH","5856 TERRY RD","","","BYRAM","MS","39272","","","","1313146"
"FEDERATION TOWERS","301 FEDERATION DR","","","CLINTON","MS","39056","","","","1313147"
"POCAHONTAS VOL FIRE STATION","1140 FOA RD","","","JACKSON","MS","39209","","","","1313150"
"POCAHONTAS VOL FIRE STATION","1140 FOA ROAD","","","JACKSON","MS","39209","","","","1313150"
"UNITED METHODIST CHURCH","230 W. MAIN ST","","","RAYMOND","MS","39154","","","","1313151"
"HINDS COMMUNITY COLLEGE MEAT DEPT","HINDS BLVD","","","RAYMOND","MS","39154","","","","1313154"
"SIWELL MIDDLE SCHOOL","1983 N SIWELL RD","","","JACKSON","MS","39209","","","","1313156"
"ST THOMAS BAPTIST CHURCH","4699 ST THOMAS RD","","","BOLTON","MS","39041","","","","1313160"
"ST THOMAS BAPTIST CHURCH","4699 ST THOMAS RD","","","BOLTON ","MS","39041","","","","1313160"
"TERRY HIGH SCHOOL ROTC BUILDING","429 W CUNNINGHAM AVE","","","TERRY","MS","39170","","","","1313161"
"TERRY HIGH SCHOOL ROTC BUILDING","429 W CUNNINGHAM AVE","","","TERRY ","MS","39170","","","","1313161"
"ST PAUL UNITED METH CHURCH","6400 JIMMY WILLIAMS RD","","","JACKSON","MS","39209","","","","1313163"
"ST PAUL UNITED METH CHURCH","6400 JIMMY WILLIAMS ROAD","","","TINNIN","MS","39209","","","","1313163"
"EVELYN TAYLOR MAJURE LIBRARY","211 W MAIN ST","","","UTICA","MS","39175","","","","1313165"
"EVELYN TAYLOR MAJURE LIBRARY","211 WEST MAIN ST","","","UTICA","MS","39175","","","","1313165"
"HINDS COUNTY DIST 3 BARN","CURTIS ST","","","UTICA","MS","39175","","","","1313167"
