id,duplicate_id
546794092,546793990
547277448,547276481
547276555,547276971
547275758,547275891
547277365,547276754
547275012,547275441
547276971,547276555
547275794,547275760
547275574,547275150
547277329,547276620
547276754,547277365
547275760,547275794
547276620,547277329
547275150,547275574
547275441,547275012
547276481,547277448
547275891,547275758
547289350,547289280
547289280,547289350
546794817,546794880
546794542,546795043
546794880,546794817
546795043,546794542
547277477,547276422
547276655,547277205
547277393,547277203
547277440,547277201
547277205,547276655
547277203,547277393
547277201,547277440
547276422,547277477
546793927,546794151
546794151,546793927
547275834,547275770
547275770,547275834
546794073,546794110
546794213,546794252
546794110,546794073
546793857,546794202
546794202,546793857
546794252,546794213
547278687,547278473
547276033,547275803
547275805,547276235
547276218,547276092
547278242,547278404
547276092,547276218
547276235,547275805
547278404,547278242
547278473,547278687
547275803,547276033
547278946,547278943
547278943,547278946
547135165,547135149
547135149,547135165
547228229,547227394
547227394,547228229
546829547,546829117
546829117,546829547
546829322,546829149
546829149,546829322
546555137,546555504
546555504,546555137
546757234,546757755
546757755,546757234
547165987,547165947
547165947,547165987
546747566,546747436
546747436,546747566
546747599,546747114
546747606,546747375
546747542,546747194
546747194,546747542
546747375,546747606
546747114,546747599
547125097,547125160
547125160,547125097
547125003,547124890
547124890,547125003
546932317,546932734
546932709,546932331
546932734,546932317
546932331,546932709
547110290,547110817
547110817,547110290
546698649,546699157
546699157,546698649
546776421,546776622
546776421,546776391
546776421,546776819
546776912,546776662
546776622,546776421
546776622,546776391
546776622,546776819
546776391,546776421
546776391,546776622
546776391,546776819
546776509,546776175
546776509,546776592
546776175,546776509
546776175,546776592
546776662,546776912
546776592,546776509
546776592,546776175
546776819,546776421
546776819,546776622
546776819,546776391
546793960,546793967
546793967,546793960
547278887,547278039
547278221,547279051
547278446,547278070
547278478,547278622
547278039,547278887
547278622,547278478
547278306,547278942
547278070,547278446
547279051,547278221
547278942,547278306
546794360,546794036
546794036,546794360
546794002,546794006
546794006,546794002
546809461,546809153
546809153,546809461
547288344,547288591
547288591,547288344
546794258,546794008
546794008,546794258
546794294,546793934
546793934,546794294
547288023,547288819
547288819,547288023
547285577,547285093
547285093,547285577
547288055,547288590
547288055,547288611
547288055,547288889
547288055,547288710
547288590,547288055
547288590,547288611
547288590,547288889
547288590,547288710
547288611,547288055
547288611,547288590
547288611,547288889
547288611,547288710
547288712,547288711
547288889,547288055
547288889,547288590
547288889,547288611
547288889,547288710
547288710,547288055
547288710,547288590
547288710,547288611
547288710,547288889
547288711,547288712
547279977,547279952
547279952,547279977
547279329,547279797
547279797,547279329
547285735,547285495
547285495,547285735
546797188,546796650
546796650,546797188
546510963,546511623
546511623,546510963
547315520,547316006
547316006,547315520
546473672,546473699
546473699,546473672
546809223,546809413
546809223,546809436
546809413,546809223
546809413,546809436
546809436,546809223
546809436,546809413
547279317,547280138
547315956,547315775
547315775,547315956
547280138,547279317
547280920,547280775
547280775,547280920
547288608,547288541
547288541,547288608
546473650,546473569
546473530,546473399
546473530,546473581
546473569,546473650
546473399,546473530
546473399,546473581
546473581,546473530
546473581,546473399
547285289,547285190
547285190,547285289
547289820,547289692
547289165,547289638
547289638,547289165
547289692,547289820
547280173,547280182
547280182,547280173
547288972,547289012
547289012,547288972
547289366,547289243
547289243,547289366
547289816,547289781
547289816,547289103
547289781,547289816
547289781,547289103
547289103,547289816
547289103,547289781
547135629,547135301
547135301,547135629
547227916,547227404
547227404,547227916
546829379,546828952
546829405,546829431
546829431,546829405
546828952,546829379
547166188,547165859
547165593,547166066
547166066,547165593
547165859,547166188
547183334,547183503
547183503,547183334
546453956,546460667
546460667,546453956
547089248,547090061
547089248,547090240
547089248,547089136
547090061,547089248
547090061,547090240
547090061,547089136
547090240,547089248
547090240,547090061
547090240,547089136
547089136,547089248
547089136,547090061
547089136,547090240
546755500,546755479
546755422,546755289
546755289,546755422
546755479,546755500
546928044,546928742
546928742,546928044
547110232,547110197
547110197,547110232
546406409,546407565
546407565,546406409
546633396,546632841
546632841,546633396
546776186,546776515
546776234,546776507
546776415,546776202
546777007,546776422
546777007,546776550
546776255,546776428
546776978,546776731
546776422,546777007
546776422,546776550
546776731,546776978
546776262,546776449
546776544,546776174
546776544,546776556
546776428,546776255
546776766,546776877
546776855,546776512
546776515,546776186
546776985,546776553
546776507,546776234
546776512,546776855
546776449,546776262
546776174,546776544
546776174,546776556
546776553,546776985
546776550,546777007
546776550,546776422
546776877,546776766
546776202,546776415
546776556,546776544
546776556,546776174
546799134,546799279
546799279,546799134
547227544,547228110
547228110,547227544
547109859,547109992
547109859,547110145
547109992,547109859
547109992,547110145
547110145,547109859
547110145,547109992
547280577,547281177
547280866,547281306
547280866,547281550
547281306,547280866
547281306,547281550
547281177,547280577
547281550,547280866
547281550,547281306
547280102,547279708
547279708,547280102
547280211,547280388
547282317,547282158
547282317,547281647
547282158,547282317
547282158,547281647
547280388,547280211
547281647,547282317
547281647,547282158
547279244,547279556
547279556,547279244
547109763,547110203
547110203,547109763
547280176,547280203
547280203,547280176
547282837,547282585
547282585,547282837
547281940,547282332
547282332,547281940
547279160,547279166
547279166,547279160
547284224,547284824
547284224,547284235
547284824,547284224
547284824,547284235
547284235,547284224
547284235,547284824
547284642,547284485
547284092,547284619
547284092,547284958
547284619,547284092
547284619,547284958
547284485,547284642
547284958,547284092
547284958,547284619
547291460,547291370
547291370,547291460
547291350,547291648
547291648,547291350
547110226,547109966
547109966,547110226
547282014,547282208
547282311,547282289
547282208,547282014
547282181,547282054
547282289,547282311
547282229,547282233
547282233,547282229
547282054,547282181
546829494,546829521
546829494,546829385
546829521,546829494
546829521,546829385
546829385,546829494
546829385,546829521
546829442,546829578
546829365,546829298
546829298,546829365
546829578,546829442
546757740,546757818
546757818,546757740
547166179,547165874
547165874,547166179
546747437,546747352
546747269,546747494
546747494,546747269
546747184,546747154
546747352,546747437
546747154,546747184
546755670,546755642
546755642,546755670
546450704,546450700
546450704,546458261
546450700,546450704
546450700,546458261
546458261,546450704
546458261,546450700
547089854,547090178
547089503,547089783
547090178,547089854
547089263,547089858
547089783,547089503
547089858,547089263
546755375,546755598
546755598,546755375
547208652,547208379
547208379,547208652
547273993,547274062
547273993,547274804
547273993,547273968
547273993,547274274
547273993,547274365
547273993,547274778
547273993,547274079
547273993,547274176
547273993,547274427
547274062,547273993
547274062,547274804
547274062,547273968
547274062,547274274
547274062,547274365
547274062,547274778
547274062,547274079
547274062,547274176
547274062,547274427
547274804,547273993
547274804,547274062
547274804,547273968
547274804,547274274
547274804,547274365
547274804,547274778
547274804,547274079
547274804,547274176
547274804,547274427
547273968,547273993
547273968,547274062
547273968,547274804
547273968,547274274
547273968,547274365
547273968,547274778
547273968,547274079
547273968,547274176
547273968,547274427
547274274,547273993
547274274,547274062
547274274,547274804
547274274,547273968
547274274,547274365
547274274,547274778
547274274,547274079
547274274,547274176
547274274,547274427
547274365,547273993
547274365,547274062
547274365,547274804
547274365,547273968
547274365,547274274
547274365,547274778
547274365,547274079
547274365,547274176
547274365,547274427
547274778,547273993
547274778,547274062
547274778,547274804
547274778,547273968
547274778,547274274
547274778,547274365
547274778,547274079
547274778,547274176
547274778,547274427
547274079,547273993
547274079,547274062
547274079,547274804
547274079,547273968
547274079,547274274
547274079,547274365
547274079,547274778
547274079,547274176
547274079,547274427
547274176,547273993
547274176,547274062
547274176,547274804
547274176,547273968
547274176,547274274
547274176,547274365
547274176,547274778
547274176,547274079
547274176,547274427
547274427,547273993
547274427,547274062
547274427,547274804
547274427,547273968
547274427,547274274
547274427,547274365
547274427,547274778
547274427,547274079
547274427,547274176
547007139,547006866
547006866,547007139
546776617,546776316
546776316,546776617
546776951,546776889
546776652,546776816
546776455,546776530
546776816,546776652
546776530,546776455
546776889,546776951
546798823,546798372
546798372,546798823
546809651,546809573
546809308,546809209
